School URN,School Name,Region,Local Authority,Phase of Education,School Type
138695,George Dixon Academy,West Midlands,Birmingham,Secondary,Academy converter
141813,Shireland Biomedical Utc,West Midlands,Sandwell,Secondary,University technical college
142711,Leek High School,West Midlands,Staffordshire,Secondary,Academy converter
143089,Firs Primary School,West Midlands,Birmingham,Primary,Academy converter
143818,Thorns Collegiate Academy,West Midlands,Dudley,Secondary,Academy sponsor led
143895,Smith's Wood Academy,West Midlands,Solihull,Secondary,Academy sponsor led
144592,Stoke Minster CofE Primary Academy,West Midlands,Stoke-on-Trent,Primary,Academy converter
144650,Birchen Coppice Academy,West Midlands,Worcestershire,Primary,Academy sponsor led
144989,Bird's Bush Primary School,West Midlands,Staffordshire,Primary,Academy sponsor led
146493,Nether Stowe School,West Midlands,Staffordshire,Secondary,Academy converter
146580,The Grove School,West Midlands,Shropshire,Secondary,Academy converter
147540,Shrewsbury Academy,West Midlands,Shropshire,Secondary,Academy converter
148061,Forest Hills Primary School,West Midlands,Staffordshire,Primary,Academy sponsor led
148220,Birches Head Academy,West Midlands,Stoke-on-Trent,Secondary,Academy converter
107756,Netherhall Learning Campus High School,Yorkshire and the Humber,Kirklees,Secondary,Community school
107869,Primrose Lane Primary School,Yorkshire and the Humber,Leeds,Primary,Foundation school
117748,Frodingham Infant School,Yorkshire and the Humber,North Lincolnshire,Primary,Community school
121321,"Scarborough, Northstead Community Primary School",Yorkshire and the Humber,North Yorkshire,Primary,Community school
139395,The Boulevard Academy,Yorkshire and the Humber,"Kingston upon Hull, City of",Secondary,Free schools
140429,Bradford Forster Academy,Yorkshire and the Humber,Bradford,Secondary,Academy sponsor led
140799,Rawmarsh Ashwood Primary School,Yorkshire and the Humber,Rotherham,Primary,Academy converter
141771,Dinnington Community Primary School,Yorkshire and the Humber,Rotherham,Primary,Academy converter
142825,Buttershaw Business & Enterprise College Academy,Yorkshire and the Humber,Bradford,Secondary,Academy sponsor led
144929,Barlby High School,Yorkshire and the Humber,North Yorkshire,Secondary,Academy converter
146769,Graham School,Yorkshire and the Humber,North Yorkshire,Secondary,Academy sponsor led
146819,George Pindar School,Yorkshire and the Humber,North Yorkshire,Secondary,Academy sponsor led
146998,Spa Academy Askern,Yorkshire and the Humber,Doncaster,Primary,Academy sponsor led
147177,Co-op Academy Grange,Yorkshire and the Humber,Bradford,Secondary,Academy sponsor led
147633,St Marys Church of England Primary Academy,Yorkshire and the Humber,Leeds,Primary,Academy sponsor led
148547,Thrybergh Academy,Yorkshire and the Humber,Rotherham,Secondary,Academy converter
120422,Shepeau Stow Primary School,East Midlands,Lincolnshire,Primary,Community school
134994,Shuttleworth College,North West,Lancashire,Secondary,Foundation school
102794,The Constance Bridgeman Centre,London,Redbridge,Pupil referral unit,Pupil referral unit
103643,Gosford Park Primary School,West Midlands,Coventry,Primary,Community school
103984,Rood End Primary School,West Midlands,Sandwell,Primary,Community school
135649,Accrington Academy,North West,Lancashire,Secondary,Academy sponsor led
111396,"Blacon High School, A Specialist Sports College",North West,Cheshire West and Chester,Secondary,Foundation school
144595,Wixams Academy,East of England,Bedford,Secondary,Free schools
135552,Christ The King College,South East,Isle of Wight,Secondary,Voluntary aided school
112688,Ashbrook Infant School,East Midlands,Derbyshire,Primary,Community school
147634,Haggonfields Primary and Nursery School,East Midlands,Nottinghamshire,Primary,Academy sponsor led
112614,Ladycross Infant School,East Midlands,Derbyshire,Primary,Community school
111996,Madron Daniel CofE (VA) School,South West,Cornwall,Primary,Voluntary aided school
118180,Arreton St George's Church of England (Aided) Primary School,South East,Isle of Wight,Primary,Voluntary aided school
136421,Hope Academy,North West,St. Helens,Secondary,Academy sponsor led
118688,Nonington Church of England Primary School,South East,Kent,Primary,Voluntary controlled school
148231,Castle View Primary Academy,North West,Lancashire,Primary,Academy sponsor led
135580,Darwen Aldridge Community Academy,North West,Blackburn with Darwen,Secondary,Academy sponsor led
140891,Darwen St James CofE Primary Academy,North West,Blackburn with Darwen,Primary,Academy converter
113343,Heathcoat Primary School,South West,Devon,Primary,Foundation school
124040,Samuel Allsopp Primary and Nursery School,West Midlands,Staffordshire,Primary,Community school
115539,Park Junior School,South West,Gloucestershire,Primary,Community school
146995,Daven Primary School,North West,Cheshire East,Primary,Academy converter
135423,Excelsior Academy,North East,Newcastle upon Tyne,Secondary,Academy sponsor led
144606,Holy Trinity Catholic and Church of England School,Yorkshire and the Humber,Barnsley,Secondary,Academy sponsor led
135599,Gospel Oak School,West Midlands,Sandwell,Secondary,Academy sponsor led
146797,Dean Trust Rose Bridge,North West,Wigan,Secondary,Academy sponsor led
148965,Dixons Brooklands Academy,North West,Manchester,Secondary,Academy sponsor led
148655,Dixons Fazakerley Academy,North West,Liverpool,Secondary,Academy sponsor led
126300,Bishopstone Church of England Primary School,South West,Swindon,Primary,Voluntary controlled school
137902,Netherthorpe School,East Midlands,Derbyshire,Secondary,Academy converter
136383,Bodmin College,South West,Cornwall,Secondary,Academy converter
136495,"Teignmouth Community School, Exeter Road",South West,Devon,Secondary,Academy converter
136358,Branston Community Academy,East Midlands,Lincolnshire,Secondary,Academy converter
146965,St Luke's CofE Primary School,East of England,Cambridgeshire,Primary,Academy sponsor led
