URN,OfstedURN,EstablishmentName,EstablishmentPostcode
580914,240849,HAMPTON PRE PREP AND PREP SCHOOL,TW12 2UQ
511050,ISI Inspe,HANDEL HOUSE SCHOOL LIMITED,DN21 2JB
598747,EY394827,HAZELWOOD SCHOOL NURSERY,RH8 0AA
123931,,HAZLEGROVE PREPARATORY SCHOOL,BA22 7JA
511066,511066,HEATHCOTE SCHOOL LIMITED,CM3 4QB
512080,EY317393,HEATHFIELD NURSERY & INFANT DEPT,HX6 4QA
515666,EY279901,HEATHFIELD PRE-SCHOOL AND DAY NURSERY,DY10 3QE
110112,308493,HEMDEAN HOUSE SCHOOL,RG4 7SD
605162,101368,HENDON PREPARATORY AND PRE-SCHOOL,NW4 1TD
696517,135418,HENLEY IN ARDEN MONTESSORI PRIMARY SCHOOL,B95 5JP
510736,117047,HEREFORD CATHEDRAL JUNIOR SCHOOL NURSERY,HR1 2NG
110124,EY290727,HERRIES PREPARATORY SCHOOL,SL6 9BD
510252,510252,HEYWOOD PREP NURSERY,SN13 0AP
510246,EY287857,HIGHCLARE WOODFIELD NURSERY,B72 1EA
536641,EX40,HIGHFIELD PREP (HARROGATE LADIES COLLEGE),HG1 2QG
513528,513528,HIGHFIELD PRIORY SCHOOL LTD,PR2 5RW
518316,ISI,HILDEN GRANGE SCHOOL (NURSERY UNIT),TN10 3BX
519647,EY360192,HILDEN OAKS SCHOOL,TN10 3BU
549439,106812,HILL HOUSE SCHOOL NURSERY,DN9 3GG
535326,EY305942,HIPPERHOLME GRAMMAR JUNIOR SCHOOL & NURSERY,HX3 8JE
511071,6395,HOE BRIDGE SCHOOL PRE-PREP,GU22 8JE
110148,EY8726004,HOLME GRANGE SCHOOL,RG40 3AL
118950,,HOLMEWOOD HOUSE SCHOOL,TN3 0EB
661465,115410,HOLMWOOD HOUSE PREP SCHOOL  CHITTS HILL,CO3 9ST
542443,2499293,HOLMWOOD HOUSE SCHOOL LTD - GREAT HORKESLEY,CO3 9ST
115805,115805,HOPELANDS PREPARATORY SCHOOL,GL10 2AD
743582,116526,HORRIS HILL SCHOOL NURSERY UNIT (FORFAR) - 116526,RG20 9DJ
115433,518115,HOWE GREEN HOUSE SCHOOL,CM22 7UF
107786,107786,HUDDERSFIELD GRAMMAR SCHOOL,HD1 4QX
517913,EY345634,HULL COLLEGIATE SCHOOL,HU10 7EH
512830,EY347271,HULME HALL GRAMMAR,SK8 6LA
519196,,HUNTER HALL SCHOOL - PRE SCHOOL,CA11 8UA
549048,999999,HURST PRE-PREP,BN6 9JS
103111,103111,HYLAND HOUSE SCHOOL,N17 9AE
132738,132738,IMAM MUHAMMAD ZAKARIYA SCHOOL,PR1 3TN
102360,102360,IMMANUEL SCHOOL,RM1 4HR
124888,935/6055,IPSWICH HIGH SCHOOL,IP9 1AZ
520546,935/6039,IPSWICH PREPARATORY SCHOOL PRE-SCHOOL,IP1 3QW
551092,134084,ISLAMIC SHAKSIYA FOUNDATION,N15 5RG
133453,,ISLAMIC TARBIYYAH PREPARATORY SCHOOL,BD8 8AW
533235,102939,JACK AND JILL RECEPTION NURSERY SCHOOL,TW2 5QA
511973,ISI,JUNIOR KING'S SCHOOL - (NURSERY UNIT),CT2 0AY
102060,102060,KEBLE PREPARATORY SCHOOL,N21 1BG
511157,ISI,KENT COLLEGE INFANT & JUNIOR SCHOOL,CT2 9AQ
511475,ISI,KENT COLLEGE PREPARATORY SCHOOL,TN2 4AX
512364,101381,KEREM SCHOOL - EARLY YEARS UNIT,N2 0ER
140491,140491,KEREM SHLOIME,M7 2EY
512295,120739,KEVIN BARKER T/A THE VIKING SCHOOL,PE25 2QJ
515896,102940,KEW COLLEGE,TW9 3HQ
134932,134932,KEW GREEN PREPARATORY SCHOOL,TW9 3AF
605722,2604643,KIDDIES PALACE NURSERY LIMITED,DA8 2EL
513487,EY255852,KING EDWARDS PRE-PREP SCHOOL,BA1 4AQ
513413,,KING'S HAWFORD SCHOOL KINDERGARTEN,WR3 7SE
511069,ISC21667,KING'S HOUSE NURSERY,LU4 9LJ
511138,102931,KING'S HOUSE SCHOOL (JR DEPT),TW10 6EG
133447,133447,KINGS KIDS CHRISTIAN SCHOOL,SE14 6EU
512885,EY371506,KING'S SCHOOL NURSERY,PL3 5LW
515260,0,KING'S SCHOOLS TAUNTON LTD,TA2 8AA
130278,EY356654,KINGSCOURT SCHOOL,PO8 9NJ
113604,EY553261,KINGSLEY SCHOOL,EX39 3LY
109349,,KINGSWOOD PREPARATORY SCHOOL,BA1 5SD
510038,0,KINGSWOOD SCHOOL NURSERY,B90 2BA
119835,511120,KIRKHAM GRAMMAR SCHOOL,PR4 2BH
760783,EY449544,KNELL  LAURA ELLEN,SS5 6BP
100533,100533,KNIGHTSBRIDGE SCHOOL,SW1X 0BD
137802,137802,LA CHOUETTE SCHOOL,W5 2PJ
601810,136747,LA SCUOLA ITALIANA A LONDRA,W11 4UH
106149,EY263621,LADY BARN HOUSE SCHOOL,SK8 1JE
520138,101834,LALEHAM LEA PREPARATORY SCHOOL,CR8 3JJ
511971,108117,LAMBS HILL NURSERY @ FULNECK SCHOOL,LS28 8DS
114626,6000,LANCING COLLEGE PREPARATORY SCHOOL AT HOVE,BN3 6LU
126114,999999,LANCING COLLEGE PREPARATORY SCHOOL AT WORTHING,BN14 8HU
135858,EY449298,LAND OF LEARNING PRIMARY SCHOOL,LE5 5PF
511070,6534,LANESBOROUGH SCHOOL,GU1 2EL
500751,121225,LANGLEY PREPARATORY SCHOOL,NR8 6HU
550356,EY134192,L'ECOLE BILINGUE,W2 1SJ
699423,EY422857,L'ÉCOLE INTERNATIONALE FRANCO-ANGLAISE LIMITED,W1B 1LS
521505,108110,LEEDS MENORAH SCHOOL NURSERY,LS17 6HQ
513485,EY481996,LEEDS MONTESSORI SCHOOL & DAY NURSERY,LS8 2LE
120324,120324,LEICESTER HIGH SCHOOL FOR GIRLS,LE2 2PP
120335,120335,LEICESTER ISLAMIC ACADEMY,LE2 2PJ
120329,120329,LEICESTER PREPARATORY SCHOOL,LE2 2AA
147455,147455,LIBERTY WOODLAND SCHOOL,SM4 5JD
650266,124474,LICHFIELD CATHEDRAL SCHOOL NURSERY   754,WS15 4PT
125387,6255,LINGFIELD COLLEGE,RH7 6PH
558235,EY528591,LITTLE  NULS    780,ST5 1DB
125432,125432,LITTLE DOWNSEND ASHTEAD,KT21 2RE
125378,125378,LITTLE DOWNSEND EPSOM,KT17 3AB
125405,125405,LITTLE DOWNSEND LEATHERHEAD,KT22 8ST
510657,EY547634,LITTLE GEMS,LU2 9TB
567737,EY456383,LITTLE JAYS PRE-SCHOOL,RH12 5JL
605739,2610942,LITTLE JEMS,SE28 8EY
584216,6003,LITTLE KING'S,GL1 2BG
532025,EY315042,LITTLE LIONS NURSERY,N12 8SY
511600,6132,LITTLE LYNDHURST,GU15 3NE
650727,2539416,LITTLE OWL CHILDCARE LTD - DAYCARE NURSERY    1399,WS11 1UE
650728,2527823,LITTLE OWL CHILDCARE LTD (WOODLAND NURSERY)   1400,WS7 3PH
